# DEMONSTRATION / SYNTHETIC DATA
# RESEARCH AND EDUCATION ONLY - NOT FOR CLINICAL USE. Outputs are generated from SYNTHETIC data and do not describe real patients.
gene_id,is_signal,direction,true_shift
SYN_G0001,False,none,0.000
SYN_G0002,False,none,0.000
SYN_G0003,False,none,0.000
SYN_G0004,False,none,0.000
SYN_G0005,True,down,-1.754
SYN_G0006,False,none,0.000
SYN_G0007,False,none,0.000
SYN_G0008,False,none,0.000
SYN_G0009,False,none,0.000
SYN_G0010,False,none,0.000
SYN_G0011,False,none,0.000
SYN_G0012,False,none,0.000
SYN_G0013,False,none,0.000
SYN_G0014,False,none,0.000
SYN_G0015,False,none,0.000
SYN_G0016,False,none,0.000
SYN_G0017,False,none,0.000
SYN_G0018,False,none,0.000
SYN_G0019,False,none,0.000
SYN_G0020,False,none,0.000
SYN_G0021,False,none,0.000
SYN_G0022,False,none,0.000
SYN_G0023,False,none,0.000
SYN_G0024,False,none,0.000
SYN_G0025,False,none,0.000
SYN_G0026,False,none,0.000
SYN_G0027,False,none,0.000
SYN_G0028,False,none,0.000
SYN_G0029,False,none,0.000
SYN_G0030,False,none,0.000
SYN_G0031,False,none,0.000
SYN_G0032,False,none,0.000
SYN_G0033,False,none,0.000
SYN_G0034,False,none,0.000
SYN_G0035,False,none,0.000
SYN_G0036,False,none,0.000
SYN_G0037,True,up,1.110
SYN_G0038,False,none,0.000
SYN_G0039,False,none,0.000
SYN_G0040,False,none,0.000
SYN_G0041,True,up,1.763
SYN_G0042,False,none,0.000
SYN_G0043,False,none,0.000
SYN_G0044,False,none,0.000
SYN_G0045,False,none,0.000
SYN_G0046,False,none,0.000
SYN_G0047,False,none,0.000
SYN_G0048,False,none,0.000
SYN_G0049,False,none,0.000
SYN_G0050,False,none,0.000
SYN_G0051,False,none,0.000
SYN_G0052,False,none,0.000
SYN_G0053,False,none,0.000
SYN_G0054,False,none,0.000
SYN_G0055,False,none,0.000
SYN_G0056,False,none,0.000
SYN_G0057,False,none,0.000
SYN_G0058,False,none,0.000
SYN_G0059,False,none,0.000
SYN_G0060,False,none,0.000
SYN_G0061,False,none,0.000
SYN_G0062,False,none,0.000
SYN_G0063,False,none,0.000
SYN_G0064,False,none,0.000
SYN_G0065,False,none,0.000
SYN_G0066,False,none,0.000
SYN_G0067,False,none,0.000
SYN_G0068,False,none,0.000
SYN_G0069,False,none,0.000
SYN_G0070,True,up,1.853
SYN_G0071,False,none,0.000
SYN_G0072,False,none,0.000
SYN_G0073,False,none,0.000
SYN_G0074,False,none,0.000
SYN_G0075,False,none,0.000
SYN_G0076,False,none,0.000
SYN_G0077,False,none,0.000
SYN_G0078,False,none,0.000
SYN_G0079,False,none,0.000
SYN_G0080,False,none,0.000
SYN_G0081,False,none,0.000
SYN_G0082,False,none,0.000
SYN_G0083,False,none,0.000
SYN_G0084,False,none,0.000
SYN_G0085,False,none,0.000
SYN_G0086,False,none,0.000
SYN_G0087,False,none,0.000
SYN_G0088,True,up,1.690
SYN_G0089,False,none,0.000
SYN_G0090,False,none,0.000
SYN_G0091,False,none,0.000
SYN_G0092,False,none,0.000
SYN_G0093,False,none,0.000
SYN_G0094,True,up,0.893
SYN_G0095,False,none,0.000
SYN_G0096,False,none,0.000
SYN_G0097,False,none,0.000
SYN_G0098,False,none,0.000
SYN_G0099,False,none,0.000
SYN_G0100,False,none,0.000
SYN_G0101,False,none,0.000
SYN_G0102,True,up,1.505
SYN_G0103,False,none,0.000
SYN_G0104,False,none,0.000
SYN_G0105,False,none,0.000
SYN_G0106,False,none,0.000
SYN_G0107,False,none,0.000
SYN_G0108,False,none,0.000
SYN_G0109,False,none,0.000
SYN_G0110,False,none,0.000
SYN_G0111,False,none,0.000
SYN_G0112,True,down,-1.446
SYN_G0113,False,none,0.000
SYN_G0114,False,none,0.000
SYN_G0115,False,none,0.000
SYN_G0116,False,none,0.000
SYN_G0117,False,none,0.000
SYN_G0118,False,none,0.000
SYN_G0119,False,none,0.000
SYN_G0120,False,none,0.000
SYN_G0121,False,none,0.000
SYN_G0122,False,none,0.000
SYN_G0123,False,none,0.000
SYN_G0124,False,none,0.000
SYN_G0125,True,down,-1.271
SYN_G0126,False,none,0.000
SYN_G0127,False,none,0.000
SYN_G0128,True,down,-1.303
SYN_G0129,False,none,0.000
SYN_G0130,False,none,0.000
SYN_G0131,False,none,0.000
SYN_G0132,False,none,0.000
SYN_G0133,False,none,0.000
SYN_G0134,False,none,0.000
SYN_G0135,True,down,-1.345
SYN_G0136,False,none,0.000
SYN_G0137,False,none,0.000
SYN_G0138,False,none,0.000
SYN_G0139,False,none,0.000
SYN_G0140,False,none,0.000
SYN_G0141,False,none,0.000
SYN_G0142,False,none,0.000
SYN_G0143,False,none,0.000
SYN_G0144,True,up,1.882
SYN_G0145,False,none,0.000
SYN_G0146,False,none,0.000
SYN_G0147,False,none,0.000
SYN_G0148,False,none,0.000
SYN_G0149,False,none,0.000
SYN_G0150,False,none,0.000
SYN_G0151,False,none,0.000
SYN_G0152,False,none,0.000
SYN_G0153,False,none,0.000
SYN_G0154,False,none,0.000
SYN_G0155,False,none,0.000
SYN_G0156,False,none,0.000
SYN_G0157,False,none,0.000
SYN_G0158,False,none,0.000
SYN_G0159,False,none,0.000
SYN_G0160,False,none,0.000
SYN_G0161,False,none,0.000
SYN_G0162,False,none,0.000
SYN_G0163,False,none,0.000
SYN_G0164,False,none,0.000
SYN_G0165,False,none,0.000
SYN_G0166,False,none,0.000
SYN_G0167,False,none,0.000
SYN_G0168,False,none,0.000
SYN_G0169,False,none,0.000
SYN_G0170,False,none,0.000
SYN_G0171,False,none,0.000
SYN_G0172,False,none,0.000
SYN_G0173,False,none,0.000
SYN_G0174,False,none,0.000
SYN_G0175,False,none,0.000
SYN_G0176,False,none,0.000
SYN_G0177,False,none,0.000
SYN_G0178,False,none,0.000
SYN_G0179,False,none,0.000
SYN_G0180,False,none,0.000
SYN_G0181,False,none,0.000
SYN_G0182,False,none,0.000
SYN_G0183,True,up,1.594
SYN_G0184,False,none,0.000
SYN_G0185,False,none,0.000
SYN_G0186,False,none,0.000
SYN_G0187,False,none,0.000
SYN_G0188,True,down,-1.673
SYN_G0189,False,none,0.000
SYN_G0190,False,none,0.000
SYN_G0191,False,none,0.000
SYN_G0192,False,none,0.000
SYN_G0193,False,none,0.000
SYN_G0194,False,none,0.000
SYN_G0195,False,none,0.000
SYN_G0196,False,none,0.000
SYN_G0197,False,none,0.000
SYN_G0198,False,none,0.000
SYN_G0199,False,none,0.000
SYN_G0200,False,none,0.000
SYN_G0201,False,none,0.000
SYN_G0202,False,none,0.000
SYN_G0203,False,none,0.000
SYN_G0204,False,none,0.000
SYN_G0205,False,none,0.000
SYN_G0206,False,none,0.000
SYN_G0207,False,none,0.000
SYN_G0208,False,none,0.000
SYN_G0209,False,none,0.000
SYN_G0210,False,none,0.000
SYN_G0211,False,none,0.000
SYN_G0212,False,none,0.000
SYN_G0213,False,none,0.000
SYN_G0214,True,down,-1.168
SYN_G0215,False,none,0.000
SYN_G0216,False,none,0.000
SYN_G0217,False,none,0.000
SYN_G0218,False,none,0.000
SYN_G0219,False,none,0.000
SYN_G0220,False,none,0.000
SYN_G0221,False,none,0.000
SYN_G0222,False,none,0.000
SYN_G0223,False,none,0.000
SYN_G0224,False,none,0.000
SYN_G0225,False,none,0.000
SYN_G0226,True,down,-0.832
SYN_G0227,False,none,0.000
