# DEMONSTRATION / SYNTHETIC DATA
# RESEARCH AND EDUCATION ONLY - NOT FOR CLINICAL USE. Outputs are generated from SYNTHETIC data and do not describe real patients.
sample_id,group,batch
SYN_S001,Group_A,Batch_2
SYN_S002,Group_B,Batch_1
SYN_S003,Group_B,Batch_2
SYN_S004,Group_A,Batch_1
SYN_S005,Group_B,Batch_1
SYN_S006,Group_A,Batch_1
SYN_S007,Group_A,Batch_1
SYN_S008,Group_B,Batch_2
SYN_S009,Group_A,Batch_1
SYN_S010,Group_A,Batch_1
SYN_S011,Group_A,Batch_2
SYN_S012,Group_B,Batch_2
SYN_S013,Group_A,Batch_2
SYN_S014,Group_B,Batch_1
SYN_S015,Group_B,Batch_2
SYN_S016,Group_A,Batch_2
SYN_S017,Group_A,Batch_1
SYN_S018,Group_A,Batch_2
SYN_S019,Group_A,Batch_2
SYN_S020,Group_A,Batch_1
SYN_S021,Group_A,Batch_1
SYN_S022,Group_B,Batch_1
SYN_S023,Group_B,Batch_2
SYN_S024,Group_B,Batch_1
SYN_S025,Group_B,Batch_1
SYN_S026,Group_B,Batch_1
SYN_S027,Group_A,Batch_1
SYN_S028,Group_A,Batch_1
SYN_S029,Group_B,Batch_1
SYN_S030,Group_B,Batch_2
SYN_S031,Group_A,Batch_1
SYN_S032,Group_B,Batch_1
SYN_S033,Group_B,Batch_2
SYN_S034,Group_B,Batch_2
SYN_S035,Group_A,Batch_2
SYN_S036,Group_B,Batch_1
SYN_S037,Group_B,Batch_1
SYN_S038,Group_A,Batch_1
SYN_S039,Group_A,Batch_2
SYN_S040,Group_A,Batch_1
SYN_S041,Group_B,Batch_2
SYN_S042,Group_B,Batch_2
SYN_S043,Group_A,Batch_2
SYN_S044,Group_A,Batch_1
SYN_S045,Group_A,Batch_1
SYN_S046,Group_B,Batch_1
SYN_S047,Group_A,Batch_1
SYN_S048,Group_B,Batch_1
SYN_S049,Group_B,Batch_1
SYN_S050,Group_B,Batch_2
SYN_S051,Group_B,Batch_1
SYN_S052,Group_B,Batch_2
SYN_S053,Group_A,Batch_1
SYN_S054,Group_A,Batch_1
SYN_S055,Group_A,Batch_2
SYN_S056,Group_A,Batch_2
SYN_S057,Group_B,Batch_1
SYN_S058,Group_B,Batch_2
SYN_S059,Group_B,Batch_2
SYN_S060,Group_B,Batch_1
SYN_S061,Group_A,Batch_1
SYN_S062,Group_A,Batch_2
SYN_S063,Group_B,Batch_1
SYN_S064,Group_A,Batch_2
SYN_S065,Group_B,Batch_1
SYN_S066,Group_B,Batch_2
SYN_S067,Group_A,Batch_2
SYN_S068,Group_A,Batch_1
SYN_S069,Group_A,Batch_2
SYN_S070,Group_B,Batch_2
SYN_S071,Group_B,Batch_2
SYN_S072,Group_A,Batch_2
SYN_S073,Group_B,Batch_2
SYN_S074,Group_A,Batch_2
SYN_S075,Group_A,Batch_2
SYN_S076,Group_B,Batch_2
SYN_S077,Group_A,Batch_2
SYN_S078,Group_B,Batch_1
SYN_S079,Group_B,Batch_2
SYN_S080,Group_A,Batch_2
